PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Caplova, Zuzana; Compassi, Valentina; Giancola, Silvio; Gibelli, Daniele M.; Obertova, Zuzana; Poppa, Pasquale; Sala, Remo; Sforza, Chiarella; Cattaneo, Cristina								Recognition of children on age-different images: Facial morphology and age-stable features								SCIENCE & JUSTICE				57	4			250	256		10.1016/j.scijus.2017.03.005			JUL 2017	2017										1							WOS:000404697100002		
J	Jones, Natalia R.; Millman, Caroline; van der Es, Mike; Hukelova, Miroslava; Forbes, Ken J.; Glover, Catherine; Haldenby, Sam; Hunter, Paul R.; Jackson, Kathryn; O'Brien, Sarah J.; Rigby, Dan; Strachan, Norval J. C.; Williams, Nicola; Lake, Iain R.		ENIGMA Consortium						Novel Sampling Method for Assessing Human-Pathogen Interactions in the Natural Environment Using Boot Socks and Citizen Scientists, with Application to Campylobacter Seasonality								APPLIED AND ENVIRONMENTAL MICROBIOLOGY				83	14					UNSP e00162-17	10.1128/AEM.00162-17			JUL 2017	2017										1							WOS:000404604600001		
J	Goodwin, Cecily E. D.; Hodgson, David J.; Al-Fulaij, Nida; Bailey, Sallie; Langton, Steve; Mcdonald, Robbie A.								Voluntary recording scheme reveals ongoing decline in the United Kingdom hazel dormouse Muscardinus avellanarius population								MAMMAL REVIEW				47	3			183	197		10.1111/mam.12091			JUL 2017	2017										1							WOS:000403912600002		
J	Goodenough, Anne E.; Little, Natasha; Carpenter, William S.; Hart, Adam G.								Birds of a feather flock together: Insights into starling murmuration behaviour revealed using citizen science								PLOS ONE				12	6					e0179277	10.1371/journal.pone.0179277			JUN 19 2017	2017										1							WOS:000404043100023		
J	Dyer, Robert James; Gillings, Simon; Pywell, Richard F.; Fox, Richard; Roy, David B.; Oliver, Tom H.								Developing a biodiversity-based indicator for large-scale environmental assessment: a case study of proposed shale gas extraction sites in Britain								JOURNAL OF APPLIED ECOLOGY				54	3			872	882		10.1111/1365-2664.12784			JUN 2017	2017										0							WOS:000401239100021		
J	Border, Jennifer A.; Newson, Stuart E.; White, David C. J.; Gillings, Simon								Predicting the likely impact of urbanisation on bat populations using citizen science data, a case study for Norfolk, UK								LANDSCAPE AND URBAN PLANNING				162				44	55		10.1016/j.landurbplan.2017.02.005			JUN 2017	2017										1							WOS:000399627800005		
J	Lawrence, Natalia S.; Chambers, Jemma C.; Morrison, Sinead M.; Bestmann, Sven; O'Grady, Gerard; Chambers, Christopher D.; Kythreotis, Andrew P.								The Evidence Information Service as a new platform for supporting evidence-based policy: a consultation of UK parliamentarians								EVIDENCE & POLICY				13	2			275	316		10.1332/174426416X14643531912169			MAY 2017	2017										1							WOS:000404627400006		
J	Starkey, Eleanor; Parkin, Geoff; Birkinshaw, Stephen; Large, Andy; Quinn, Paul; Gibson, Ceri								Demonstrating the value of community-based ('citizen science') observations for catchment modelling and characterisation								JOURNAL OF HYDROLOGY				548				801	817		10.1016/j.jhydrol.2017.03.019			MAY 2017	2017										5							WOS:000403739000061		
J	Bosker, Thijs; Behrens, Paul; Vijver, Martina G.								Determining global distribution of microplastics by combining citizen science and in-depth case studies								INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT				13	3			536	541		10.1002/ieam.1908			MAY 2017	2017										1							WOS:000400030800016		
J	Smith, Graham; Cirach, Marta; Swart, Wim; Dedele, Audrius; Gidlow, Christopher; van Kempen, Elise; Kruize, Hanneke; Grazuleviciene, Regina; Nieuwenhuijsen, Mark J.								Characterisation of the natural environment: quantitative indicators across Europe								INTERNATIONAL JOURNAL OF HEALTH GEOGRAPHICS				16						16	10.1186/s12942-017-0090-z			APR 26 2017	2017										1							WOS:000400711700001		
