Scopus search,,,,,,
"search terms: TITLE-ABS-KEY ((""biological record*"" OR ""citizen science"" OR (atlas AND species) OR gbif OR ""Global Biodiversity Information Facility"" OR eBird OR ""National Biodiversity Data Centre"" OR ""NBN"" OR ""National Biodiversity Network"" OR ""Centre for Environmental Data and Recording"") AND (""Great Britain"" OR Ireland OR Scotland OR Wales OR ""Northern Ireland"" OR ""British Isles"" OR UK OR ""United Kingdom"") AND NOT (cancer OR disease OR palliative OR ""cross-sectional"" OR ""cross sectional"" OR ""New South Wales"" OR Pyle OR marmoset))",,,,,,
15 June 2018,,,,,,
,,,,,,
author,title,year,Source title,doi,link,search_venue
"Goodwin, C.E.D., Hodgson, D.J., Al-Fulaij, N., Bailey, S., Langton, S., Mcdonald, R.A.",Voluntary recording scheme reveals ongoing decline in the United Kingdom hazel dormouse Muscardinus avellanarius population,2017,Mammal Review,10.1111/mam.12091,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021102195&doi=10.1111%2fmam.12091&partnerID=40&md5=9f6a566e2e9346aaa6bbf50f34fff044,Scopus
"Jones, N.R., Millman, C., van der Es, M., Hukelova, M., Forbes, K.J., Glover, C., Haldenby, S., Hunter, P.R., Jackson, K., O'Brien, S.J., Rigby, D., Strachan, N.J.C., Williams, N., Lake, I.R., O'Brien, S., Christley, R., Hertz-Fowler, C., Wigley, P., Winstanley, C., Diggle, P., Lake, I., Hiscock, K., Hunter, P., Forbes, K., Strachan, N., Griffith, R., Cross, P., Rushton, S., Humphrey, T., Bennett, M., Howard, D., Wren, B.","Novel sampling method for assessing human-pathogen interactions in the natural environment using boot socks and citizen scientists, with application to Campylobacter seasonality",2017,Applied and Environmental Microbiology,10.1128/AEM.00162-17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021424047&doi=10.1128%2fAEM.00162-17&partnerID=40&md5=9f20abedbf8bc2e4a596618aee9d80f7,Scopus
"Everall, N.C., Johnson, M.F., Wood, P., Farmer, A., Wilby, R.L., Measham, N.",Comparability of macroinvertebrate biomonitoring indices of river health derived from semi-quantitative and quantitative methodologies,2017,Ecological Indicators,10.1016/j.ecolind.2017.03.040,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016425371&doi=10.1016%2fj.ecolind.2017.03.040&partnerID=40&md5=2d30457d69edc9336db0ed527ffa05b5,Scopus
"Border, J.A., Newson, S.E., White, D.C.J., Gillings, S.","Predicting the likely impact of urbanisation on bat populations using citizen science data, a case study for Norfolk, UK",2017,Landscape and Urban Planning,10.1016/j.landurbplan.2017.02.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013339560&doi=10.1016%2fj.landurbplan.2017.02.005&partnerID=40&md5=d6183642232450127427d1d51cbb7d50,Scopus
"Goodenough, A.E., Little, N., Carpenter, W.S., Hart, A.G.",Birds of a feather flock together: Insights into starling murmuration behaviour revealed using citizen science,2017,PLoS ONE,10.1371/journal.pone.0179277,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020892814&doi=10.1371%2fjournal.pone.0179277&partnerID=40&md5=7bfb87f13a3e7d43cbe5b012f29156f4,Scopus
"Lindsay, D.J., Grossmann, M.M., Bentlage, B., Collins, A.G., Minemizu, R., Hopcroft, R.R., Miyake, H., Hidaka-Umetsu, M., Nishikawa, J.","The perils of online biogeographic databases: a case study with the ‘monospecific’ genus Aegina (Cnidaria, Hydrozoa, Narcomedusae)",2017,Marine Biology Research,10.1080/17451000.2016.1268261,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020720468&doi=10.1080%2f17451000.2016.1268261&partnerID=40&md5=46ba04c6d570b5039b1c143e7cb477ea,Scopus
"Cliche, L., Freeman, L.",Applying integrated watershed management in Nova Scotia: a community-based perspective from the Clean Annapolis River Project,2017,International Journal of Water Resources Development,10.1080/07900627.2016.1238344,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990252304&doi=10.1080%2f07900627.2016.1238344&partnerID=40&md5=27be2469104739789676abe2791d6a87,Scopus
"Starkey, E., Parkin, G., Birkinshaw, S., Large, A., Quinn, P., Gibson, C.",Demonstrating the value of community-based (‘citizen science’) observations for catchment modelling and characterisation,2017,Journal of Hydrology,10.1016/j.jhydrol.2017.03.019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019008689&doi=10.1016%2fj.jhydrol.2017.03.019&partnerID=40&md5=8afcd87120334f8eda1f059e4f58a48e,Scopus
"Lawrence, N.S., Chambers, J.C., Morrison, S.M., Bestmann, S., O'Grady, G., Chambers, C.D., Kythreotis, A.P.",The Evidence Information Service as a new platform for supporting evidence-based policy: A consultation of UK parliamentarians,2017,Evidence and Policy,10.1332/174426416X14643531912169,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019671225&doi=10.1332%2f174426416X14643531912169&partnerID=40&md5=66c3a3a512940bbaa5ea3ec73eba985c,Scopus
"Turner, S.D., Rose, N.L., Goldsmith, B., Bearcock, J.M., Scheib, C., Yang, H.",Using public participation to sample trace metals in lake surface sediments: the OPAL Metals Survey,2017,Environmental Monitoring and Assessment,10.1007/s10661-017-5946-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018302018&doi=10.1007%2fs10661-017-5946-y&partnerID=40&md5=de615d7c7f6664c297303586f590689a,Scopus
"Gray, N.J., Meeker, A., Ravensbergen, S., Kipp, A., Faulkner, J.",Producing science and global citizenship? Volunteer tourism and conservation in Belize,2017,Tourism Recreation Research,10.1080/02508281.2017.1300398,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016135224&doi=10.1080%2f02508281.2017.1300398&partnerID=40&md5=600de2bbce2638232a3bef61d0b2029a,Scopus
